fecha,dom_cibao,dom_samana,dom_la_romana,dom_las_americas,dom_puerto_plata,dom_punta_cana,dom_resto,ext_cibao,ext_samana,ext_la_romana,ext_las_americas,ext_puerto_plata,ext_punta_cana,ext_resto
2022-01-01,37984,71,378,46489,2530,6403,422,14999,2570,40662,67030,21870,287536,2013
2022-02-01,38423,57,181,45096,2221,5388,456,20813,2875,33254,77432,26012,311284,2743
2022-03-01,40151,84,135,50115,2151,5437,479,21886,2816,5000,84229,31307,371550,2416
2022-04-01,43758,39,338,58536,3214,6413,516,24244,2014,6159,85998,25503,366538,2741
2022-05-01,42997,22,239,55774,1706,6766,450,24639,1252,2521,80474,10245,331191,3048
2022-06-01,51604,106,405,66076,3925,8037,501,32496,1684,2421,99447,20817,354695,2650
2022-07-01,52786,141,417,73207,6015,10741,680,35350,3378,4219,112279,25063,407554,3234
2022-08-01,47304,62,213,59144,3985,8464,504,27535,2529,2556,95226,21452,349935,3044
2022-09-01,34037,26,225,45135,2123,6505,357,15155,1483,1439,68833,13529,238733,2555
2022-10-01,35529,31,98,47048,1917,6372,427,16284,1442,2146,81483,16634,279228,3161
2022-11-01,36465,32,290,49620,2152,5748,363,18443,3694,4012,88028,26477,333749,2311
2022-12-01,60735,238,722,97271,5294,18699,842,25765,5288,8195,109386,34387,396460,2653
2023-01-01,43327,71,509,53420,2264,6233,385,18822,6834,9738,87712,43157,400034,2244
2023-02-01,37311,74,323,48550,1575,4915,396,22287,7575,8997,93196,40581,392875,2444
2023-03-01,40251,93,412,52010,1762,4723,431,28875,8953,8040,105170,42589,444051,2950
2023-04-01,38162,136,311,48407,1759,4895,431,29494,7255,5955,106340,31113,403484,3833
2023-05-01,41592,47,275,53212,1304,5798,424,29296,3319,2610,106172,10821,363299,3420
2023-06-01,51203,39,482,61399,2684,7569,462,40323,2915,4119,125282,17980,389195,3660
2023-07-01,57014,84,593,67972,4656,9541,606,46823,5410,6361,136942,21618,431488,3919
2023-08-01,46129,56,415,52714,2987,7246,353,39793,5830,4623,118776,19139,363169,3892
2023-09-01,35284,21,384,46726,1705,4995,361,23163,2104,3003,94089,13452,251286,2257
2023-10-01,36369,24,374,46003,1534,4620,405,24636,2257,3312,104501,17218,288800,995
2023-11-01,37886,24,393,48915,1750,4856,370,26362,3651,4853,114535,27103,362798,2936
2023-12-01,64929,164,881,94848,5830,17245,981,33987,6026,8672,135015,42287,453584,3120
2024-01-01,41440,30,421,49703,2269,5023,348,23043,5951,8429,107302,50696,444951,2623
2024-02-01,41822,19,403,45483,2553,4553,346,30043,6798,8509,113445,52629,446865,2364
2024-03-01,48072,38,483,52195,3414,5816,487,32892,6929,9308,121601,52921,500709,1637
2024-04-01,41097,22,267,46115,2402,5823,359,28749,4659,5099,106642,38134,423887,970
2024-05-01,46759,23,305,54461,1881,6793,437,31623,2494,3492,111212,20420,396618,957
2024-06-01,57330,53,493,62708,3488,9470,412,44188,2245,4062,129665,19987,423545,1187
2024-07-01,62236,63,514,65268,5633,11926,623,46074,4008,6130,135541,23859,447937,1380
2024-08-01,53682,50,351,56305,3233,9546,397,40180,4627,5330,112317,19873,368202,1103
2024-09-01,38884,21,317,41927,1593,6885,316,19707,2224,2561,84817,12864,255888,912
2024-10-01,43224,52,227,45762,1578,7477,262,23382,2923,2452,101677,16271,307998,884
2024-11-01,45076,28,359,48769,2174,7725,283,24488,3755,4839,99793,28786,400024,946
2024-12-01,70801,106,1134,95905,8149,25136,731,30336,5915,10483,115432,45537,473138,1325
2025-01-01,47163,26,529,49974,3059,7987,315,20386,6543,12768,92181,48040,470018,939
2025-02-01,44330,27,406,44563,2287,6844,264,25841,6460,11470,94351,47561,455468,785
2025-03-01,45639,21,389,47696,2476,7645,322,24341,6313,11986,94662,48635,528914,940
2025-04-01,47649,32,471,52941,2753,9869,412,25942,4288,8713,94503,35385,465395,915
2025-05-01,47638,15,564,52760,1850,10038,321,25143,1884,5159,91437,13941,421946,1047
2025-06-01,61696,22,666,66286,3567,13816,349,39038,1840,9321,106977,18289,447682,968
2025-07-01,68270,36,626,71534,5552,17772,588,47711,2907,9527,124316,21514,492204,1228
2025-08-01,57962,30,506,61589,3515,13486,422,36795,3484,7372,105140,16200,399538,1136
2025-09-01,40688,13,377,45089,1699,8862,397,19466,1229,4130,78061,10567,278783,1070
2025-10-01,46001,17,368,49048,2111,8683,406,23175,1305,4454,95132,16835,344426,1061
2025-11-01,46457,30,584,49770,2500,8037,338,26099,4598,7051,105750,28978,434529,1195
2025-12-01,73164,221,1158,106893,8055,29843,839,31537,7953,10119,126276,42570,536572,1552
2026-01-01,51169,67,537,52436,3225,8139,387,24938,10483,13252,98904,46080,515168,1062
2026-02-01,48667,38,369,46916,2507,6894,320,31745,10396,11812,103861,48085,511633,929
2026-03-01,52540,63,345,56874,3069,8465,404,33132,9617,12322,116510,55483,603774,1160
2026-04-01,46062,59,319,51094,2033,8311,321,28041,7149,7607,104529,36643,506171,864
2026-05-01,52499,36,439,57773,2220,11175,417,29040,4704,5021,102650,21658,455415,998
2026-06-01,63895,30,578,70706,2973,13197,350,42216,5002,5318,117744,22222,470991,1295
2026-07-01,68674,69,638,75871,4297,17123,633,50987,6173,8006,143624,23529,520081,2013
