fecha,ent_nr_dom,ent_nr_ext,ent_res_dom,ent_res_ext,sal_nr_dom,sal_nr_ext,sal_res_dom,sal_res_ext
2022-01-01,94277,436680,72751,13736,182653,480515,43138,10892
2022-02-01,91822,474413,32764,8398,113262,440887,43023,9009
2022-03-01,98552,519204,37481,9134,126705,531641,49623,10724
2022-04-01,112814,513197,53385,10765,113957,510086,67618,12986
2022-05-01,107954,453370,50980,10696,115304,445751,64244,12169
2022-06-01,130654,514210,44521,10137,113227,461641,65580,13599
2022-07-01,143987,591077,53278,12600,122647,548811,70011,13759
2022-08-01,119676,502277,72231,13052,152027,551752,71056,14111
2022-09-01,88408,341727,62599,10105,125156,363539,63084,12539
2022-10-01,91422,400378,56896,11235,105556,377030,69518,12296
2022-11-01,94670,476714,59311,11478,93753,451540,72343,11934
2022-12-01,183801,582134,50888,10870,77455,485951,100487,19434
2023-01-01,106209,568541,87978,16871,179260,614486,56134,12009
2023-02-01,93144,567955,41822,9135,144441,493361,88994,6223
2023-03-01,99682,640628,53692,11509,121047,646854,73793,13157
2023-04-01,94101,587474,61174,13549,109910,613670,72031,14091
2023-05-01,102652,518937,61036,11957,106944,522024,72095,13338
2023-06-01,123838,583474,54113,11881,106073,534419,79809,15897
2023-07-01,140466,652561,79237,14420,125663,568895,91080,15312
2023-08-01,109900,555222,88629,15501,143536,614687,77289,15320
2023-09-01,89476,389354,69507,11886,122081,422627,72950,13870
2023-10-01,89329,441719,71175,11979,99631,431422,74410,12794
2023-11-01,94194,542238,71815,12639,87179,506074,77215,13059
2023-12-01,184878,682691,56907,12019,77268,570948,104059,19695
2024-01-01,99234,642995,98874,18874,178517,699255,57220,11469
2024-02-01,95179,660653,45460,9685,105996,572655,54633,10244
2024-03-01,110505,725997,52440,11539,113116,638769,74144,13015
2024-04-01,96085,608140,63613,12034,118436,596224,64952,11956
2024-05-01,110659,566816,57026,11012,104915,457391,73892,11997
2024-06-01,133954,624879,61326,11667,109191,546458,85915,14421
2024-07-01,146263,664929,89175,14048,126811,617254,97838,14487
2024-08-01,123564,551632,92540,14409,148696,574819,81943,12604
2024-09-01,89943,378973,72218,10174,125069,374403,74660,11093
2024-10-01,98582,455587,67140,10674,108294,394396,78861,11207
2024-11-01,104414,562631,69451,11408,93878,491788,79134,10861
2024-12-01,201962,682166,66514,12931,83914,560119,105622,17619
2025-01-01,109053,650875,101805,16675,191766,683741,53544,10394
2025-02-01,98721,641936,45243,9323,115498,603858,55478,9225
2025-03-01,104188,715791,55731,11506,129037,714536,56350,10099
2025-04-01,114127,635141,68368,12295,115931,620801,75740,12070
2025-05-01,113186,560557,62314,11485,113871,520667,77010,11259
2025-06-01,146402,624115,64376,12221,115410,551189,85567,12965
2025-07-01,164378,699407,95516,14288,141872,638446,103937,14067
2025-08-01,137510,569665,100704,15545,171640,616934,83340,13511
2025-09-01,97125,393306,74116,11289,129726,402848,72539,11742
2025-10-01,106634,486388,68250,11283,106534,431670,74723,12552
2025-11-01,107716,608200,70689,11965,97508,543632,76945,12745
2025-12-01,220173,756579,64615,12130,85688,608229,103870,17463
2026-01-01,115960,709887,102286,17733,207735,737799,54313,10713
2026-02-01,105711,718461,44296,9747,118070,678157,54228,10080
2026-03-01,121760,831998,60062,12057,132027,808609,76952,13011
2026-04-01,108199,691004,68372,12794,131534,722949,64699,10959
2026-05-01,124559,619486,66737,12098,112787,597293,74516,11733
2026-06-01,151729,664788,63111,12720,125711,611431,81457,14202
2026-07-01,167305,754413,88810,14159,143258,698219,101102,14628
