fecha,disp_ampliada,disp_hoteles,disp_efectiva,ocup_abierta,ocup_ampliada,pct_huesp_ext,pct_huesp_local
2022-01-01,0.953,0.923,0.777,0.704,0.671,0.878,0.121
2022-02-01,0.954,0.926,0.781,0.746,0.712,0.897,0.107
2022-03-01,0.953,0.921,0.78,0.715,0.682,0.89,0.113
2022-04-01,0.955,0.918,0.781,0.73,0.697,0.867,0.136
2022-05-01,0.945,0.919,0.776,0.666,0.629,0.854,0.149
2022-06-01,0.942,0.919,0.776,0.696,0.656,0.888,0.158
2022-07-01,0.945,0.914,0.777,0.752,0.71,0.882,0.162
2022-08-01,0.945,0.914,0.777,0.735,0.694,0.876,0.168
2022-09-01,0.925,0.907,0.753,0.593,0.548,0.826,0.174
2022-10-01,0.941,0.89,0.741,0.628,0.591,0.837,0.163
2022-11-01,0.944,0.905,0.764,0.72,0.68,0.872,0.128
2022-12-01,0.95,0.91,0.782,0.715,0.679,0.882,0.118
2023-01-01,0.954,0.917,0.791,0.762,0.727,0.89,0.11
2023-02-01,0.962,0.921,0.797,0.8,0.77,0.896,0.104
2023-03-01,0.964,0.926,0.8,0.764,0.737,0.894,0.106
2023-04-01,0.932,0.921,0.776,0.757,0.706,0.872,0.128
2023-05-01,0.958,0.905,0.765,0.677,0.649,0.873,0.127
2023-06-01,0.952,0.902,0.761,0.707,0.673,0.856,0.144
2023-07-01,0.953,0.902,0.762,0.746,0.71,0.847,0.153
2023-08-01,0.956,0.897,0.764,0.685,0.655,0.866,0.134
2023-09-01,0.942,0.902,0.752,0.563,0.53,0.839,0.161
2023-10-01,0.952,0.889,0.755,0.602,0.573,0.854,0.146
2023-11-01,0.957,0.88,0.769,0.72,0.689,0.875,0.125
2023-12-01,0.956,0.888,0.786,0.746,0.713,0.892,0.108
2024-01-01,0.954,0.894,0.799,0.795,0.759,0.907,0.093
2024-02-01,0.959,0.892,0.802,0.831,0.797,0.909,0.091
2024-03-01,0.96,0.889,0.804,0.789,0.757,0.903,0.097
2024-04-01,0.959,0.892,0.805,0.754,0.723,0.896,0.104
2024-05-01,0.96,0.887,0.796,0.682,0.655,0.94,0.06
2024-06-01,0.965,0.885,0.802,0.707,0.682,0.911,0.089
2024-07-01,0.965,0.886,0.803,0.739,0.713,0.901,0.099
2024-08-01,0.948,0.896,0.801,0.684,0.648,0.888,0.112
2024-09-01,0.944,0.888,0.794,0.564,0.533,0.869,0.131
2024-10-01,0.948,0.893,0.794,0.615,0.584,0.851,0.149
2024-11-01,0.957,0.89,0.8,0.736,0.704,0.878,0.122
2024-12-01,0.96,0.893,0.813,0.754,0.723,0.898,0.102
2025-01-01,0.96,0.892,0.817,0.804,0.772,0.906,0.094
2025-02-01,0.967,0.887,0.821,0.833,0.806,0.96,0.04
2025-03-01,0.968,0.885,0.821,0.791,0.765,0.91,0.09
2025-04-01,0.966,0.884,0.82,0.738,0.712,0.9,0.1
2025-05-01,0.963,0.884,0.819,0.679,0.654,0.885,0.115
2025-06-01,0.958,0.883,0.824,0.689,0.661,0.874,0.126
2025-07-01,0.96,0.88,0.825,0.731,0.702,0.865,0.135
2025-08-01,0.958,0.874,0.833,0.648,0.622,0.866,0.134
2025-09-01,0.948,0.876,0.822,0.533,0.506,0.856,0.144
2025-10-01,0.95,0.873,0.82,0.591,0.562,0.866,0.134
2025-11-01,0.957,0.879,0.825,0.735,0.704,0.895,0.105
2025-12-01,0.967,0.877,0.826,0.775,0.749,0.908,0.092
2026-01-01,0.97,0.875,0.83,0.813,0.788,0.913,0.087
2026-02-01,0.968,0.878,0.832,0.855,0.827,0.925,0.075
2026-03-01,0.973,0.885,0.822,0.848,0.825,0.933,0.067
2026-04-01,0.97,0.888,0.804,0.799,0.774,0.928,0.072
2026-05-01,0.964,0.883,0.792,0.714,0.688,0.904,0.096
2026-06-01,0.943,0.877,0.793,0.716,0.675,0.896,0.104
2026-07-01,0.968,0.867,0.756,0.759,0.735,0.882,0.118
