pais,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01
Estados Unidos,121955,150794,196141,183680,173937,223686,234669,171908,99381,116636,142228,188535,175009,202883,263682,229723,215146,271326,288606,222103,133373,153360,183377,239145,213565,249408,309624,240045,246622,302751,301917,222093,118547,148659,176006,233731,202772,227778,296709,236364,219579,285931,302256,216662,116446,152260,194456,255808,213365,243082,327108,245092,234376,294032,302489
República Dominicana,94277,91822,98552,112814,107954,130654,143987,119676,88408,91422,94670,183802,106209,93144,99682,94101,102652,123838,140466,109900,89476,89329,94194,184879,99234,95179,110505,96085,110659,133954,146263,123564,89943,98582,104414,201963,109053,98721,104188,114127,113186,146402,164378,137510,97125,106634,107716,220170,115960,105710,121760,108199,124559,151729,167305
Canadá,28992,42551,70868,66588,33971,26966,35574,31877,19921,35502,72714,92400,121889,119438,128777,97247,45613,30796,39297,37327,25410,39863,87488,120595,144944,142493,142720,106376,49050,31792,39475,36220,25420,41669,93454,122417,138712,132706,139835,101069,44200,28808,34950,30818,21167,36886,96080,127970,150668,152363,162889,114541,47949,32344,37808
Argentina,12916,13376,13812,14498,19095,16988,18396,16919,15268,16102,16868,14603,23481,17847,15959,19336,22209,17233,19696,14887,13964,14714,15923,16278,25772,21075,19521,19602,22562,22873,26622,19774,22380,24108,28134,29390,51742,39827,37634,37056,42289,35261,43581,30304,28745,30683,34394,38997,60292,46534,45157,45950,46389,33147,49546
Colombia,17800,12708,17982,21378,24401,27905,26691,27723,27880,31986,26403,30697,28817,15991,21036,24651,25381,32315,27744,32447,31466,34767,31822,37022,29653,20154,25268,24417,30754,35991,29282,34115,32836,38381,35432,37878,31566,19849,23493,31056,35236,41123,35264,43424,42076,49163,40246,47426,39665,26335,36157,34212,44011,54191,48484
Puerto Rico,6069,8182,9645,9858,13715,25164,26481,15110,10986,12652,12411,13391,8609,10231,10022,14269,22110,34735,38468,19753,15433,17595,17458,17594,10558,10994,15408,15035,23865,37036,39145,21137,13941,18097,18652,16542,9931,10993,12881,16787,22109,35095,42335,22760,15700,20786,19418,19534,11457,11559,14451,16739,25072,37036,42998
México,4052,3887,4931,6208,6411,6002,7234,6312,6603,6284,7147,7400,5785,5662,7400,8856,9992,8386,10625,10185,7971,8761,9962,10050,7604,8059,10384,10702,12008,11653,14444,12442,10015,10595,11903,12242,9606,9755,11195,13560,14889,12686,21587,17970,15734,15973,16928,17494,13894,13969,17396,19562,22423,16228,24227
Reino Unido,10646,12201,15533,17031,18291,16350,18554,18513,15049,14629,15286,15455,12810,12033,12882,12376,16318,15925,17190,16726,14458,14929,13179,13785,12906,12843,13538,12912,17561,16534,18716,18676,15397,15333,14270,14068,13425,13426,14121,14345,17804,16927,18486,18489,15124,15770,14894,15611,15602,14468,16980,14980,19019,18792,20007
Francia,22608,32823,24115,24839,14003,8762,16244,17212,6840,15251,13697,20769,21652,26863,17623,15620,7914,5791,10555,12403,5349,10048,11588,15980,18525,23525,16677,18789,8599,5010,10708,13175,5786,10301,11310,15498,18091,22429,16097,17399,7799,5268,9555,11709,4557,9659,11527,15790,19784,26947,18575,19774,9015,5526,10891
Brasil,5535,4199,4997,6428,6724,6088,7108,8325,7184,8053,8619,10444,10651,6386,10253,9775,10768,11168,11181,9304,9773,10530,10667,13882,11601,8809,10011,12718,11835,10530,12001,10324,9284,10212,13184,15544,12473,9410,11571,13863,13997,12004,13949,11312,11782,13980,14855,17882,14679,11402,12874,17828,16089,12983,17650
