fecha,bavaro_punta_cana,gran_santo_domingo,puerto_plata,romana_bayahibe,sosua_cabarete,samana,boca_chica_juan_dolio,santiago,resto
2022-01-01,0.751,0.581,0.539,0.871,0.58,0.592,0.723,0.477,0.536
2022-02-01,0.798,0.632,0.553,0.876,0.698,0.663,0.679,0.584,0.56
2022-03-01,0.76,0.649,0.596,0.808,0.562,0.631,0.614,0.604,0.545
2022-04-01,0.791,0.591,0.583,0.839,0.521,0.632,0.624,0.562,0.545
2022-05-01,0.732,0.61,0.405,0.818,0.326,0.622,0.497,0.608,0.525
2022-06-01,0.769,0.567,0.495,0.826,0.391,0.624,0.491,0.608,0.515
2022-07-01,0.827,0.587,0.597,0.847,0.47,0.63,0.598,0.62,0.55
2022-08-01,0.797,0.592,0.584,0.874,0.47,0.661,0.584,0.603,0.576
2022-09-01,0.636,0.541,0.411,0.793,0.368,0.496,0.554,0.514,0.474
2022-10-01,0.678,0.592,0.404,0.791,0.434,0.586,0.538,0.523,0.521
2022-11-01,0.774,0.685,0.569,0.806,0.575,0.647,0.472,0.61,0.579
2022-12-01,0.789,0.525,0.585,0.777,0.562,0.572,0.476,0.528,0.569
2023-01-01,0.819,0.533,0.74,0.832,0.654,0.705,0.551,0.515,0.605
2023-02-01,0.847,0.622,0.807,0.83,0.745,0.778,0.581,0.617,0.604
2023-03-01,0.815,0.65,0.748,0.776,0.64,0.702,0.508,0.624,0.587
2023-04-01,0.82,0.589,0.681,0.844,0.622,0.692,0.49,0.553,0.593
2023-05-01,0.765,0.605,0.39,0.83,0.323,0.587,0.427,0.57,0.521
2023-06-01,0.787,0.634,0.489,0.847,0.379,0.561,0.478,0.61,0.515
2023-07-01,0.821,0.608,0.587,0.841,0.508,0.661,0.507,0.654,0.546
2023-08-01,0.757,0.615,0.466,0.799,0.417,0.676,0.436,0.587,0.518
2023-09-01,0.605,0.564,0.368,0.728,0.385,0.461,0.431,0.567,0.437
2023-10-01,0.658,0.576,0.356,0.759,0.38,0.488,0.5,0.574,0.473
2023-11-01,0.781,0.654,0.519,0.841,0.533,0.563,0.558,0.634,0.57
2023-12-01,0.825,0.514,0.617,0.792,0.569,0.574,0.556,0.575,0.571
2024-01-01,0.862,0.536,0.759,0.837,0.708,0.637,0.673,0.525,0.569
2024-02-01,0.889,0.588,0.843,0.849,0.788,0.723,0.709,0.564,0.584
2024-03-01,0.84,0.591,0.798,0.819,0.693,0.658,0.647,0.567,0.591
2024-04-01,0.813,0.553,0.701,0.83,0.611,0.637,0.586,0.6,0.524
2024-05-01,0.763,0.496,0.488,0.785,0.396,0.542,0.509,0.545,0.473
2024-06-01,0.795,0.537,0.489,0.773,0.402,0.556,0.57,0.563,0.469
2024-07-01,0.82,0.551,0.592,0.788,0.474,0.58,0.612,0.572,0.496
2024-08-01,0.744,0.506,0.562,0.78,0.411,0.633,0.613,0.608,0.491
2024-09-01,0.607,0.522,0.39,0.676,0.306,0.513,0.457,0.554,0.43
2024-10-01,0.669,0.561,0.381,0.716,0.365,0.506,0.519,0.671,0.495
2024-11-01,0.804,0.567,0.556,0.855,0.566,0.558,0.591,0.605,0.551
2024-12-01,0.834,0.481,0.615,0.835,0.654,0.594,0.59,0.496,0.557
2025-01-01,0.879,0.493,0.726,0.878,0.793,0.665,0.727,0.441,0.563
2025-02-01,0.9,0.542,0.801,0.893,0.866,0.752,0.739,0.499,0.59
2025-03-01,0.862,0.528,0.741,0.844,0.753,0.666,0.653,0.509,0.553
2025-04-01,0.818,0.457,0.625,0.832,0.632,0.6,0.541,0.442,0.542
2025-05-01,0.77,0.512,0.418,0.826,0.337,0.552,0.484,0.457,0.462
2025-06-01,0.781,0.503,0.463,0.854,0.373,0.502,0.518,0.48,0.435
2025-07-01,0.809,0.552,0.58,0.86,0.45,0.572,0.646,0.51,0.499
2025-08-01,0.714,0.503,0.484,0.849,0.34,0.571,0.583,0.511,0.43
2025-09-01,0.574,0.486,0.368,0.798,0.275,0.428,0.433,0.427,0.355
2025-10-01,0.649,0.522,0.397,0.788,0.326,0.445,0.481,0.466,0.396
2025-11-01,0.796,0.607,0.59,0.871,0.553,0.618,0.641,0.555,0.541
2025-12-01,0.849,0.531,0.64,0.883,0.654,0.637,0.697,0.463,0.606
2026-01-01,0.878,0.53,0.741,0.887,0.801,0.683,0.712,0.5,0.676
2026-02-01,0.915,0.56,0.795,0.924,0.874,0.776,0.797,0.616,0.703
2026-03-01,0.9,0.576,0.85,0.931,0.831,0.718,0.804,0.576,0.701
2026-04-01,0.858,0.526,0.754,0.911,0.727,0.665,0.752,0.467,0.637
2026-05-01,0.769,0.506,0.571,0.893,0.445,0.651,0.585,0.478,0.596
2026-06-01,0.769,0.518,0.59,0.873,0.433,0.653,0.6,0.506,0.582
2026-07-01,0.797,0.606,0.696,0.884,0.514,0.664,0.712,0.619,0.685
