fecha,vuelos_regulares
2022-01-01,4181
2022-02-01,3667
2022-03-01,4239
2022-04-01,4223
2022-05-01,4206
2022-06-01,4169
2022-07-01,4456
2022-08-01,4486
2022-09-01,3546
2022-10-01,3857
2022-11-01,4296
2022-12-01,5232
2023-01-01,5292
2023-02-01,4622
2023-03-01,5299
2023-04-01,5090
2023-05-01,4811
2023-06-01,4869
2023-07-01,5337
2023-08-01,5264
2023-09-01,4428
2023-10-01,4382
2023-11-01,4883
2023-12-01,5929
2024-01-01,6057
2024-02-01,5388
2024-03-01,5921
2024-04-01,5412
2024-05-01,5113
2024-06-01,5194
2024-07-01,5591
2024-08-01,5054
2024-09-01,3909
2024-10-01,4164
2024-11-01,4952
2024-12-01,5994
2025-01-01,5884
2025-02-01,5211
2025-03-01,6017
2025-04-01,5481
2025-05-01,4881
2025-06-01,5294
2025-07-01,6000
2025-08-01,5613
2025-09-01,4776
2025-10-01,4525
2025-11-01,5055
2025-12-01,6346
2026-01-01,6269
2026-02-01,5520
2026-03-01,6447
2026-04-01,5976
2026-05-01,5318
2026-06-01,5662
2026-07-01,6160
